INFO 2025-10-05 21:47:43,163 autoreload 24960 16548 Watching for file changes with StatReloader
INFO 2025-10-05 22:32:50,018 basehttp 13456 3620 "GET /static/drf-yasg/swagger-ui-init.js HTTP/1.1" 304 0
INFO 2025-10-05 22:32:50,123 basehttp 13456 14244 "GET /?format=openapi HTTP/1.1" 200 14152
WARNING 2025-10-05 22:33:57,876 log 13456 28024 Bad Request: /api/auth/signup/
WARNING 2025-10-05 22:33:57,878 basehttp 13456 28024 "POST /api/auth/signup/ HTTP/1.1" 400 68
WARNING 2025-10-05 22:34:35,259 log 13456 28024 Bad Request: /api/auth/signup/
WARNING 2025-10-05 22:34:35,260 basehttp 13456 28024 "POST /api/auth/signup/ HTTP/1.1" 400 69
WARNING 2025-10-05 22:35:01,508 log 13456 28024 Bad Request: /api/auth/signup/
WARNING 2025-10-05 22:35:01,509 basehttp 13456 28024 "POST /api/auth/signup/ HTTP/1.1" 400 68
INFO 2025-10-05 22:35:21,122 basehttp 13456 26084 "GET / HTTP/1.1" 200 1642
INFO 2025-10-05 22:36:08,567 basehttp 13456 28024 "POST /api/auth/signup/ HTTP/1.1" 201 103
INFO 2025-10-05 22:37:41,238 basehttp 13456 28024 "POST /api/auth/login/ HTTP/1.1" 200 576
INFO 2025-10-05 22:39:46,173 basehttp 13456 28024 "GET /?format=openapi HTTP/1.1" 200 14152
INFO 2025-10-05 22:40:26,984 basehttp 13456 28024 "GET /api/movies/ HTTP/1.1" 200 641
INFO 2025-10-05 22:41:05,596 basehttp 13456 28024 "GET /api/movies/1/shows/ HTTP/1.1" 200 681
INFO 2025-10-05 22:43:35,273 basehttp 13456 15124 "GET /api/my-bookings/ HTTP/1.1" 200 52
INFO 2025-10-05 23:46:40,257 basehttp 13456 6268 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-10-05 23:47:04,799 basehttp 13456 6268 "OPTIONS /api/auth/login/ HTTP/1.1" 200 0
INFO 2025-10-05 23:47:46,395 basehttp 13456 6268 "OPTIONS /api/auth/signup/ HTTP/1.1" 200 0
INFO 2025-10-05 23:47:58,859 basehttp 13456 6268 "OPTIONS /api/auth/signup/ HTTP/1.1" 200 0
INFO 2025-10-05 23:47:59,737 basehttp 13456 6268 "OPTIONS /api/auth/signup/ HTTP/1.1" 200 0
INFO 2025-10-06 22:48:56,521 autoreload 15924 2060 Watching for file changes with StatReloader
